frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,0
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,0
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,0
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,0
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,0
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,0
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,0
37,$4000_duty,0
37,$4000_const,1
37,$4000_vol,0
38,$4000_duty,0
38,$4000_const,1
38,$4000_vol,0
39,$4000_duty,0
39,$4000_const,1
39,$4000_vol,0
40,$4000_duty,0
40,$4000_const,1
40,$4000_vol,0
41,$4000_duty,0
41,$4000_const,1
41,$4000_vol,0
42,$4000_duty,0
42,$4000_const,1
42,$4000_vol,0
43,$4000_duty,0
43,$4000_const,1
43,$4000_vol,0
45,$4000_duty,0
45,$4000_const,1
45,$4000_vol,0
46,$4000_duty,0
46,$4000_const,1
46,$4000_vol,0
47,$4000_duty,0
47,$4000_const,1
47,$4000_vol,0
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,0
49,$4000_duty,0
49,$4000_const,1
49,$4000_vol,0
50,$4000_duty,0
50,$4000_const,1
50,$4000_vol,0
51,$4000_duty,0
51,$4000_const,1
51,$4000_vol,0
52,$4000_duty,0
52,$4000_const,1
52,$4000_vol,0
53,$4000_duty,0
53,$4000_const,1
53,$4000_vol,0
55,$4000_duty,0
55,$4000_const,1
55,$4000_vol,0
56,$4000_duty,0
56,$4000_const,1
56,$4000_vol,0
57,$4000_duty,0
57,$4000_const,1
57,$4000_vol,0
58,$4000_duty,0
58,$4000_const,1
58,$4000_vol,0
59,$4000_duty,0
59,$4000_const,1
59,$4000_vol,0
60,$4000_duty,0
60,$4000_const,1
60,$4000_vol,0
61,$4000_duty,0
61,$4000_const,1
61,$4000_vol,0
62,$4000_duty,0
62,$4000_const,1
62,$4000_vol,0
63,$4000_duty,0
63,$4000_const,1
63,$4000_vol,0
64,$4000_duty,0
64,$4000_const,1
64,$4000_vol,0
66,$4000_duty,0
66,$4000_const,1
66,$4000_vol,0
67,$4000_duty,0
67,$4000_const,1
67,$4000_vol,0
68,$4000_duty,0
68,$4000_const,1
68,$4000_vol,0
69,$4000_duty,0
69,$4000_const,1
69,$4000_vol,0
70,$4000_duty,0
70,$4000_const,1
70,$4000_vol,0
71,$4000_duty,0
71,$4000_const,1
71,$4000_vol,0
72,$4000_duty,0
72,$4000_const,1
72,$4000_vol,0
73,$4000_duty,0
73,$4000_const,1
73,$4000_vol,0
74,$4000_duty,0
74,$4000_const,1
74,$4000_vol,0
76,$4000_duty,0
76,$4000_const,1
76,$4000_vol,0
77,$4000_duty,0
77,$4000_const,1
77,$4000_vol,0
78,$4000_duty,0
78,$4000_const,1
78,$4000_vol,0
79,$4000_duty,0
79,$4000_const,1
79,$4000_vol,0
80,$4000_duty,0
80,$4000_const,1
80,$4000_vol,0
81,$4000_duty,0
