frame,parameter,value
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,6
0,$4011_dac,48
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,6
1,$4011_dac,48
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,6
2,$4011_dac,48
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,5
3,$4011_dac,48
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,5
4,$4011_dac,48
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,5
5,$4011_dac,48
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,4
6,$4011_dac,48
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,4
7,$4011_dac,48
8,$4004_duty,2
8,$4004_const,0
8,$4004_vol,2
8,$4005_sweep,127
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
8,$4001_sweep,127
8,$4011_dac,48
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,0
9,$4011_dac,48
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,0
10,$4011_dac,48
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,0
11,$4011_dac,48
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,0
12,$4011_dac,48
13,$4006_period,425
13,$4004_duty,2
13,$4004_const,0
13,$4004_vol,2
13,$4005_sweep,127
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,7
13,$4002_period,677
13,$400B_length,9
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,6
13,$4001_sweep,127
13,$4011_dac,48
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,6
14,$4011_dac,48
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,6
15,$4011_dac,48
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,6
16,$4011_dac,48
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,6
17,$4011_dac,48
18,$4006_period,357
18,$4004_duty,2
18,$4004_const,0
18,$4004_vol,4
18,$4005_sweep,127
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,7
18,$4002_period,677
18,$400B_length,9
18,$4000_duty,0
18,$4000_const,0
18,$4000_vol,6
18,$4001_sweep,127
18,$4008_linear,56
18,$400A_period,477
18,$400B_length,8
18,$4011_dac,48
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,6
19,$4011_dac,48
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,6
20,$4011_dac,48
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,6
21,$4011_dac,48
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,6
22,$4011_dac,48
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,5
23,$4011_dac,48
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,5
24,$4011_dac,48
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,5
25,$4011_dac,48
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,4
26,$4011_dac,48
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,4
27,$4011_dac,48
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,4
28,$4011_dac,48
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,4
29,$4011_dac,48
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,3
30,$4011_dac,48
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,3
31,$4011_dac,48
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,3
32,$4011_dac,48
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,3
33,$4011_dac,48
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,3
34,$4011_dac,48
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,2
35,$4011_dac,48
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,2
36,$4011_dac,48
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,2
37,$4011_dac,48
38,$4004_duty,1
38,$4004_const,1
38,$4004_vol,2
38,$4008_linear,56
38,$400A_period,507
38,$400B_length,8
38,$4011_dac,48
39,$4004_duty,1
39,$4004_const,1
39,$4004_vol,2
39,$4011_dac,48
40,$4004_duty,1
40,$4004_const,1
40,$4004_vol,2
40,$4011_dac,48
41,$4004_duty,1
41,$4004_const,1
41,$4004_vol,1
41,$4011_dac,48
42,$4004_duty,1
42,$4004_const,1
42,$4004_vol,1
42,$4011_dac,48
43,$4004_duty,1
43,$4004_const,1
43,$4004_vol,1
43,$4011_dac,48
44,$4004_duty,1
44,$4004_const,1
44,$4004_vol,1
44,$4011_dac,48
45,$4004_duty,1
45,$4004_const,1
45,$4004_vol,1
45,$4011_dac,48
46,$4004_duty,1
46,$4004_const,1
46,$4004_vol,1
46,$4011_dac,48
47,$4004_duty,1
47,$4004_const,1
47,$4004_vol,1
47,$4011_dac,48
48,$4006_period,425
48,$4004_duty,2
48,$4004_const,0
48,$4004_vol,4
48,$4005_sweep,127
48,$4004_duty,1
48,$4004_const,1
48,$4004_vol,7
48,$4002_period,677
48,$400B_length,9
48,$4000_duty,0
48,$4000_const,0
48,$4000_vol,6
48,$4001_sweep,127
48,$4011_dac,48
49,$4004_duty,1
49,$4004_const,1
49,$4004_vol,6
49,$4011_dac,48
50,$4004_duty,1
50,$4004_const,1
50,$4004_vol,6
50,$4011_dac,48
51,$4004_duty,1
51,$4004_const,1
51,$4004_vol,6
51,$4011_dac,48
52,$4004_duty,1
52,$4004_const,1
52,$4004_vol,6
52,$4011_dac,48
53,$4004_duty,1
53,$4004_const,1
53,$4004_vol,5
53,$4011_dac,48
54,$4004_duty,1
54,$4004_const,1
54,$4004_vol,5
54,$4011_dac,48
55,$4004_duty,1
55,$4004_const,1
55,$4004_vol,5
55,$4011_dac,48
56,$4004_duty,1
56,$4004_const,1
56,$4004_vol,4
56,$4011_dac,48
57,$4004_duty,1
57,$4004_const,1
57,$4004_vol,4
57,$4011_dac,48
58,$4004_duty,1
58,$4004_const,1
58,$4004_vol,4
58,$4008_linear,56
58,$400A_period,569
58,$400B_length,9
58,$4011_dac,48
59,$4004_duty,1
59,$4004_const,1
59,$4004_vol,4
59,$4011_dac,48
60,$4004_duty,1
60,$4004_const,1
60,$4004_vol,3
60,$4011_dac,48
61,$4006_period,855
61,$4004_duty,2
61,$4004_const,0
61,$4004_vol,2
61,$4005_sweep,127
61,$4002_period,1141
61,$400B_length,10
61,$4000_duty,0
61,$4000_const,0
61,$4000_vol,6
61,$4001_sweep,127
61,$4008_linear,32
61,$400A_period,855
61,$400B_length,9
61,$4011_dac,48
62,$4011_dac,47
63,$4011_dac,46
64,$4011_dac,45
65,$4011_dac,44
66,$4011_dac,43
67,$4011_dac,42
68,$4011_dac,41
69,$4011_dac,40
70,$4011_dac,39
71,$4006_period,807
71,$4004_duty,2
71,$4004_const,0
71,$4004_vol,2
71,$4005_sweep,127
71,$4002_period,1077
71,$400B_length,10
71,$4000_duty,0
71,$4000_const,0
71,$4000_vol,6
71,$4001_sweep,127
71,$4008_linear,32
71,$400A_period,807
71,$400B_length,9
71,$4011_dac,38
72,$4011_dac,37
73,$4011_dac,36
74,$4011_dac,35
75,$4011_dac,34
76,$4011_dac,33
77,$4011_dac,32
78,$4011_dac,31
79,$4011_dac,30
80,$4011_dac,29
81,$4006_period,761
81,$4004_duty,2
81,$4004_const,0
81,$4004_vol,2
81,$4005_sweep,127
81,$4002_period,1017
81,$400B_length,9
81,$4000_duty,0
81,$4000_const,0
81,$4000_vol,6
81,$4001_sweep,127
81,$4008_linear,32
81,$400A_period,761
81,$400B_length,9
81,$4011_dac,28
82,$4011_dac,27
83,$4011_dac,26
